ID Producto%Nombre%Descripcion%Precio Unitario%Costo Unitario
PRO001%Snacks%Descripcion de Snacks%152.58%97.44
PRO002%Carnicos%Descripcion de Carnicos%421.89%364.69
PRO003%Cereales%Descripcion de Cereales%205.7%117.11
PRO004%Frutas%Descripcion de Frutas%9.33%6.92
PRO005%Alimento infantil%Descripcion de Alimento infantil%255.28%159.42
PRO006%Bebida%Descripcion de Bebida%47.45%31.79
PRO007%Cosmeticos%Descripcion de Cosmeticos%437.2%263.33
PRO008%Cuidado personal%Descripcion de Cuidado personal%81.73%56.67
PRO009%Material de oficina%Descripcion de Material de oficina%651.21%524.96
PRO0010%Verduras%Descripcion de Verduras%154.06%90.93
PRO0011%Ropa%Descripcion de Ropa%109.28%35.84
PRO0012%Domestico%Descripcion de Domestico%668.27%502.54
